year,month,day,week,temp_2,temp_1,average,actual
2015,10,1,Thu,32.9,31,32.9,34.4
2015,10,2,Fri,31,34.4,31,34.5
2015,10,3,Sat,34.4,34.5,34.45,37
2015,10,4,Sun,34.5,37,35.75,37.2
2015,10,5,Mon,37,37.2,37.1,39
2015,10,6,Tue,37.2,39,38.1,39.2
2015,10,7,Wed,39,39.2,39.1,37.5
2015,10,8,Thu,39.2,37.5,38.35,35.6
2015,10,9,Fri,37.5,35.6,36.55,38
2015,10,10,Sat,35.6,38,36.8,37.8
2015,10,11,Sun,38,37.8,37.9,35.1
2015,10,12,Mon,37.8,35.1,36.45,32.4
2015,10,13,Tue,35.1,32.4,33.75,34
2015,10,14,Wed,32.4,34,33.2,33.7
2015,10,15,Thu,34,33.7,33.85,34
2015,10,16,Fri,33.7,34,33.85,34
2015,10,17,Sat,34,34,34,35
2015,10,18,Sun,34,35,34.5,35
2015,10,19,Mon,35,35,35,36
2015,10,20,Tue,35,36,35.5,35
2015,10,21,Wed,36,35,35.5,35
2015,10,22,Thu,35,35,35,35
2015,10,23,Fri,35,35,35,35
2015,10,24,Sat,35,35,35,34.6
2015,10,25,Sun,35,34.6,34.8,33
2015,10,26,Mon,34.6,33,33.8,28
2015,10,27,Tue,33,28,30.5,33
2015,10,28,Wed,28,33,30.5,35
2015,10,29,Thu,33,35,34,35
2015,10,30,Fri,35,35,35,33
2015,10,31,Sat,35,33,34,35.2
2016,10,1,Sat,33,35.2,34.1,26
2016,10,2,Sun,35.2,26,30.6,29
2016,10,3,Mon,26,29,27.5,32
2016,10,4,Tue,29,32,30.5,34
2016,10,5,Wed,32,34,33,34
2016,10,6,Thu,34,34,34,35
2016,10,7,Fri,34,35,34.5,30
2016,10,8,Sat,35,30,32.5,32
2016,10,9,Sun,30,32,31,32.3
2016,10,10,Mon,32,32.3,32.15,31
2016,10,11,Tue,32.3,31,31.65,33
2016,10,12,Wed,31,33,32,30
2016,10,13,Thu,33,30,31.5,32
2016,10,14,Fri,30,32,31,33
2016,10,15,Sat,32,33,32.5,35
2016,10,16,Sun,33,35,34,30
2016,10,17,Mon,35,30,32.5,32
2016,10,18,Tue,30,32,31,31
2016,10,19,Wed,32,31,31.5,33
2016,10,20,Thu,31,33,32,32
2016,10,21,Fri,33,32,32.5,35
2016,10,22,Sat,32,35,33.5,35
2016,10,23,Sun,35,35,35,34
2016,10,24,Mon,35,34,34.5,33
2016,10,25,Tue,34,33,33.5,33
2016,10,26,Wed,33,33,33,30.4
2016,10,27,Thu,33,30.4,31.7,31
2016,10,28,Fri,30.4,31,30.7,32
2016,10,29,Sat,31,32,31.5,29
2016,10,30,Sun,32,29,30.5,34
2016,10,31,Mon,29,34,31.5,35
2017,10,1,Sun,34,35,34.5,32
2017,10,2,Mon,35,32,33.5,34
2017,10,3,Tue,32,34,33,32
2017,10,4,Wed,34,32,33,31.1
2017,10,5,Thu,32,31.1,31.55,31
2017,10,6,Fri,31.1,31,31.05,30
2017,10,7,Sat,31,30,30.5,34
2017,10,8,Sun,30,34,32,33.1
2017,10,9,Mon,34,33.1,33.55,33
2017,10,10,Tue,33.1,33,33.05,34
2017,10,11,Wed,33,34,33.5,33
2017,10,12,Thu,34,33,33.5,34
2017,10,13,Fri,33,34,33.5,34
2017,10,14,Sat,34,34,34,35
2017,10,15,Sun,34,35,34.5,36
2017,10,16,Mon,35,36,35.5,35
2017,10,17,Tue,36,35,35.5,35
2017,10,18,Wed,35,35,35,38
2017,10,19,Thu,35,38,36.5,37
2017,10,20,Fri,38,37,37.5,35
2017,10,21,Sat,37,35,36,34
2017,10,22,Sun,35,34,34.5,35
2017,10,23,Mon,34,35,34.5,34.4
2017,10,24,Tue,35,34.4,34.7,35
2017,10,25,Wed,34.4,35,34.7,31.3
2017,10,26,Thu,35,31.3,33.15,33
2017,10,27,Fri,31.3,33,32.15,34
2017,10,28,Sat,33,34,33.5,33
2017,10,29,Sun,34,33,33.5,27
2017,10,30,Mon,33,27,30,32.1
2017,10,31,Tue,27,32.1,29.55,33
2018,10,1,Mon,32.1,33,32.55,34.8
2018,10,2,Tue,33,34.8,33.9,34.1
2018,10,3,Wed,34.8,34.1,34.45,33.8
2018,10,4,Thu,34.1,33.8,33.95,34.2
2018,10,5,Fri,33.8,34.2,34,33
2018,10,6,Sat,34.2,33,33.6,33.2
2018,10,7,Sun,33,33.2,33.1,33.4
2018,10,8,Mon,33.2,33.4,33.3,33.2
2018,10,9,Tue,33.4,33.2,33.3,33.2
2018,10,10,Wed,33.2,33.2,33.2,29
2018,10,11,Thu,33.2,29,31.1,32
2018,10,12,Fri,29,32,30.5,32.2
2018,10,13,Sat,32,32.2,32.1,32
2018,10,14,Sun,32.2,32,32.1,32.5
2018,10,15,Mon,32,32.5,32.25,34
2018,10,16,Tue,32.5,34,33.25,34.6
2018,10,17,Wed,34,34.6,34.3,33
2018,10,18,Thu,34.6,33,33.8,33.5
2018,10,19,Fri,33,33.5,33.25,32.6
2018,10,20,Sat,33.5,32.6,33.05,33
2018,10,21,Sun,32.6,33,32.8,33.5
2018,10,22,Mon,33,33.5,33.25,32
2018,10,23,Tue,33.5,32,32.75,33
2018,10,24,Wed,32,33,32.5,33.1
2018,10,25,Thu,33,33.1,33.05,33
2018,10,26,Fri,33.1,33,33.05,34
2018,10,27,Sat,33,34,33.5,33.9
2018,10,28,Sun,34,33.9,33.95,34
2018,10,29,Mon,33.9,34,33.95,35
2018,10,30,Tue,34,35,34.5,34
2018,10,31,Wed,35,34,34.5,35
